hour,date,users,event_count,event_name,day
14,4/15/2019,1,1,5,7
14,4/15/2019,66,85,9,21
14,4/15/2019,2,2,4,21
14,4/15/2019,1,1,3,14
14,4/15/2019,2,5,7,21
14,4/15/2019,2,5,7,14
14,4/15/2019,2,2,2,14
14,4/15/2019,5,20,7,7
14,4/15/2019,3,6,0,45
14,4/15/2019,9,12,5,0
14,4/15/2019,3,3,4,14
14,4/15/2019,1,1,5,14
14,4/15/2019,2,2,0,14
14,4/15/2019,101,136,9,7
14,4/15/2019,10,32,7,1
14,4/15/2019,3,18,3,7
14,4/15/2019,1,2,3,45
14,4/15/2019,12,43,3,1
14,4/15/2019,64,160,9,0
14,4/15/2019,64,80,1,0
14,4/15/2019,3,3,1,45
14,4/15/2019,18,25,1,1
14,4/15/2019,9,11,1,7
14,4/15/2019,33,102,3,0
14,4/15/2019,10,22,6,7
14,4/15/2019,3,18,6,45
14,4/15/2019,5,5,5,1
14,4/15/2019,1,2,6,90
14,4/15/2019,34,110,7,0
14,4/15/2019,54,163,6,0
14,4/15/2019,3,10,3,21
14,4/15/2019,78,95,9,14
14,4/15/2019,6,6,1,21
14,4/15/2019,1,1,4,45
14,4/15/2019,6,7,4,1
14,4/15/2019,7,10,2,7
14,4/15/2019,34,43,2,0
14,4/15/2019,5,11,6,21
14,4/15/2019,9,12,2,1
14,4/15/2019,2,12,6,14
14,4/15/2019,1,5,7,45
15,4/15/2019,41,47,2,0
15,4/15/2019,2,2,2,7
15,4/15/2019,9,14,0,1
15,4/15/2019,47,167,6,0
15,4/15/2019,4,4,0,7
15,4/15/2019,6,16,6,7
15,4/15/2019,2,2,4,14
15,4/15/2019,5,10,7,7
15,4/15/2019,8,13,9,45
15,4/15/2019,3,3,2,14
15,4/15/2019,2,2,4,21
15,4/15/2019,13,36,6,1
15,4/15/2019,21,31,9,21
15,4/15/2019,5,18,7,14
15,4/15/2019,32,49,9,0
15,4/15/2019,1,1,7,21
15,4/15/2019,8,15,5,0
15,4/15/2019,4,4,4,1
15,4/15/2019,1,1,2,21
15,4/15/2019,50,88,0,0
15,4/15/2019,2,4,6,21
15,4/15/2019,5,5,2,1
15,4/15/2019,27,121,3,0
15,4/15/2019,1,1,9,90
15,4/15/2019,6,6,1,7
15,4/15/2019,23,35,9,14
15,4/15/2019,4,20,3,7
15,4/15/2019,3,4,0,14
15,4/15/2019,12,12,1,1
15,4/15/2019,2,2,1,21
15,4/15/2019,1,4,0,21
15,4/15/2019,32,117,7,0
15,4/15/2019,3,4,4,0
15,4/15/2019,28,35,9,7
15,4/15/2019,9,30,3,1
15,4/15/2019,4,5,5,1
15,4/15/2019,56,64,9,1
15,4/15/2019,5,20,6,14
15,4/15/2019,59,70,1,0
15,4/15/2019,8,35,7,1
15,4/15/2019,6,6,1,14
15,4/15/2019,2,12,3,14
16,4/15/2019,24,27,9,14
16,4/15/2019,3,3,2,21
16,4/15/2019,8,29,6,7
16,4/15/2019,9,9,2,1
16,4/15/2019,1,2,6,14
16,4/15/2019,8,28,6,1
16,4/15/2019,4,4,2,7
16,4/15/2019,1,6,3,21
16,4/15/2019,1,1,4,14
16,4/15/2019,5,24,3,1
16,4/15/2019,41,53,9,1
16,4/15/2019,3,3,5,7
16,4/15/2019,10,11,1,1
16,4/15/2019,1,5,5,1
16,4/15/2019,3,3,1,21
16,4/15/2019,4,6,0,7
16,4/15/2019,33,41,9,7
16,4/15/2019,51,62,1,0
16,4/15/2019,26,32,9,0
16,4/15/2019,22,27,2,0
16,4/15/2019,18,68,3,0
16,4/15/2019,8,11,9,45
16,4/15/2019,1,1,7,21
16,4/15/2019,11,20,0,1
16,4/15/2019,8,18,5,0
16,4/15/2019,18,26,9,21
16,4/15/2019,8,31,7,1
16,4/15/2019,3,3,4,7
16,4/15/2019,10,11,1,7
